,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
38,2015-02-08,1062.926837224914,74070.33220534388,-5078.627651079175,7470.701029509012,1062.926837224914,1062.926837224914,-0.004478273332682292,-0.004478273332682292,-0.004478273332682292,0.0006093948343861625,0.0006093948343861625,0.0006093948343861625,-0.005087668167068455,-0.005087668167068455,-0.005087668167068455,0.0,0.0,0.0,1058.1667603151773
39,2015-02-09,1064.2455021343276,74070.33220534388,-5549.842522527134,6857.250480421436,1064.2455021343276,1064.2455021343276,0.008213462165798775,0.008213462165798775,0.008213462165798775,0.002247795979740619,0.002247795979740619,0.002247795979740619,0.005965666186058156,0.005965666186058156,0.005965666186058156,0.0,0.0,0.0,1072.9866423012295
40,2015-02-10,1065.5657790998414,74070.33220534388,-5407.0908973134465,7264.644865926119,1065.5657790998414,1065.5657790998414,0.01531453509505048,0.01531453509505048,0.01531453509505048,-0.001732991076907317,-0.001732991076907317,-0.001732991076907317,0.017047526171957796,0.017047526171957796,0.017047526171957796,0.0,0.0,0.0,1081.884423619951
41,2015-02-11,1066.8876700329001,74070.33220534388,-5180.16017492253,7142.910581421094,1066.8876700329001,1066.8876700329001,0.029441775311722502,0.029441775311722502,0.029441775311722502,0.0013956591508856836,0.0013956591508856836,0.0013956591508856836,0.02804611616083682,0.02804611616083682,0.02804611616083682,0.0,0.0,0.0,1098.2987370968558
42,2015-02-12,1068.2111768470716,74070.33220534388,-4929.127846403084,7391.03411933381,1068.2111768470716,1068.2111768470716,0.03766193788147104,0.03766193788147104,0.03766193788147104,-0.001195441000000672,-0.001195441000000672,-0.001195441000000672,0.03885737888147171,0.03885737888147171,0.03885737888147171,0.0,0.0,0.0,1108.4420798337792
43,2015-02-13,1069.5363014580419,74070.33220534388,-4520.296864011731,7383.536400493625,1069.5363014580419,1069.5363014580419,0.04852751367197381,0.04852751367197381,0.04852751367197381,-0.0008595703835105782,-0.0008595703835105782,-0.0008595703835105782,0.04938708405548439,0.04938708405548439,0.04938708405548439,0.0,0.0,0.0,1121.4382389497193
44,2015-02-14,1070.863045783621,74070.33220534388,-5327.648096044793,7450.989839269044,1070.863045783621,1070.863045783621,0.05908778987466756,0.05908778987466756,0.05908778987466756,-0.00046484750461330915,-0.00046484750461330915,-0.00046484750461330915,0.05955263737928087,0.05955263737928087,0.05955263737928087,0.0,0.0,0.0,1134.13797641743
45,2015-02-15,1072.1914117437461,74070.33220534388,-5194.1093997415,7641.41439355015,1072.1914117437461,1072.1914117437461,0.06989396360525843,0.06989396360525843,0.06989396360525843,0.0006093948343940331,0.0006093948343940331,0.0006093948343940331,0.06928456877086439,0.06928456877086439,0.06928456877086439,0.0,0.0,0.0,1147.1311192540343
46,2015-02-16,1073.5214012604781,74070.33220534388,-5081.121916801003,7857.672690424893,1073.5214012604781,1073.5214012604781,0.08077546328310244,0.08077546328310244,0.08077546328310244,0.002247795979740845,0.002247795979740845,0.002247795979740845,0.07852766730336158,0.07852766730336158,0.07852766730336158,0.0,0.0,0.0,1160.2355897916184
47,2015-02-17,1074.8530162580103,74070.33220534388,-4771.16605067638,7493.431434992073,1074.8530162580103,1074.8530162580103,0.08550874844935562,0.08550874844935562,0.08550874844935562,-0.0017329910769080196,-0.0017329910769080196,-0.0017329910769080196,0.08724173952626363,0.08724173952626363,0.08724173952626363,0.0,0.0,0.0,1166.7623524452474
